Invoice number,5655970117,
Invoice date,2026-07-31,
Due date,2026-08-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8753,
Total amount due,€277.36,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Standard Storage US Regional,E5F0-6A5D-7BAD,Default,,Usage,2026-06-30,2026-07-30,0.001,gibibyte month,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,Default,,Usage,2026-06-30,2026-07-31,0.287,gibibyte month,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,Default,,Usage,2026-06-30,2026-07-22,0.012,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,Default,,Usage,2026-06-30,2026-07-22,594,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,Default,,Usage,2026-06-30,2026-07-30,397,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,Default,,Usage,2026-06-30,2026-07-31,0.092,gibibyte month,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,Default,,Usage,2026-06-30,2026-07-22,0.003,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class A Operations,4DBF-185F-A415,Default,,Usage,2026-06-30,2026-07-22,30,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Storage,95FF-2EF5-5EA1,Regional Standard Class B Operations,7870-010B-2763,Default,,Usage,2026-06-30,2026-07-22,106,count,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],,,,,,,Tax,,,,,43.510688,43.51
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],,,,,,,Tax,,,,,7.551463,7.55
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],,,,,,,Tax,,,,,0.798779,0.80
RT-Solarity,010FC8-663B3D-2AE43C,[Charges not specific to a project],,,,,,,,,Tax,,,,,-0.000930,-0.00
,,,,,,,,,,,Rounding error,,,,,-0.003682,-0.00
,,,,,,,,,,,Total,,,,,277.360000,277.36
